iterations,theta,N,width,pBack,pInlet,pOutlet,B,pL,error
0,0.035,80,1,571.997800000005,45066.4049,0,571.997800000005,45083.59962937703,-0.038139655037269536
1,0.035,96,1,571.842700000001,37401.8128,0,571.842700000001,37662.219629427615,-0.6914271967766454
2,0.04,80,1,571.775000000002,26668.1044,0,571.775000000002,26656.979717100305,0.04173272072739377
3,0.04,96,1,571.9496,22170.8121,0,571.9496,22306.70286648251,-0.6091925252059338
4,0.045,80,1,572.089199999999,17030.3822,0,572.089199999999,16850.456972683947,1.0677765452161159
5,0.045,96,1,572.1183,14202.1605,0,572.1183,14134.6003331964,0.4779771992910793
6,0.05,80,1,571.759,11453.2838,0,571.759,11246.558183518664,1.8381233894675664
7,0.05,96,1,572.24402,9602.09249,0,572.24402,9464.68433208431,1.4517986347404153
0,0.055,80,1,571.876050000001,8053.1333,0,571.876050000001,7857.577744703371,2.4887511348958617
1,0.055,96,1,571.847180000001,6767.00031,0,571.847180000001,6640.53350307909,1.9044675681896621
2,0.06,80,1,571.38442,5856.29752,0,571.38442,5711.198830282029,2.5405995138643376
3,0.06,96,1,571.3209,4955.21252,0,571.3209,4851.883799593096,2.1296618937075427
4,0.065,80,1,571.65189,4460.28815,0,571.65189,4298.613538517847,3.7610873839544694
5,0.065,96,1,571.71057,3798.58026,0,571.71057,3674.7286096215707,3.3703618290109287
6,0.0699999999999999,80,1,571.65206,3512.55712,0,571.65206,3338.3280600680023,5.219051477177128
7,0.0699999999999999,96,1,571.79502,3012.95604,0,571.79502,2874.489729275958,4.817074464166543
8,0.075,80,1,571.25611,2845.12442,0,571.25611,2667.1571349776386,6.672545936212849
9,0.075,96,1,571.09762,2455.6607,0,571.09762,2315.1794103482016,6.067835996808126
