config,rHole,axial,length,pBack,pInlet,pOutlet,oneRegion,multRegion,errOne,errMult
2,0.2,2,12,455.3982352,551.86767,0.0,501.00944514540737,485.98506235332366,-10.151150910903903,-13.556508779847634
2,0.25,2,12,388.5009912,409.789524,0.0,378.08088042839006,363.08048294672705,-8.386735540734556,-12.86465212180692
4,0.25,6,8,322.10027561000004,326.195482,0.0,317.5240482111292,290.23980974786707,-2.7309533995059807,-12.388263444414413
2,0.3,2,12,332.36241342,336.707502,0.0,313.81453934211686,299.7301088544666,-7.29506118673663,-12.336896445557851
4,0.2,6,8,392.5258632,420.494189,0.0,401.28283225778455,374.85226068106505,-4.787485334003539,-12.17597787352506
2,0.4,2,12,263.55040688,263.683086,0.0,247.54266149426076,235.171875745513,-6.5202597436375465,-12.12356288952676
1,0.2,4,12,402.0507644,430.825305,0.0,401.28283225778455,384.3393969679085,-7.362007633368514,-12.095015082716849
1,0.25,4,12,332.99765700999995,337.233146,0.0,317.5240482111292,301.3760348228089,-6.207119712635357,-11.897797778868823
2,0.5,2,12,229.86003249594,229.863052,0.0,215.02035657325112,206.19399631349964,-6.90292568726739,-11.479022721162877
3,0.25,2,24,343.65763925,348.094362,0.0,317.5240482111292,312.47429245462575,-9.627716061538711,-11.399360013127033
3,0.2,2,24,411.1697373,440.955023,0.0,401.28283225778455,395.98686774233977,-9.886341391432858,-11.355971351787362
4,0.3,6,8,274.96244136900003,275.487022,0.0,271.85320224714025,247.56665668649825,-1.3366845499050968,-11.277918313877885
1,0.3,4,12,285.589794665,286.121505,0.0,271.85320224714025,257.42318162041647,-5.248532161813026,-11.148305758220593
3,0.3,2,24,297.442403865,298.008545,0.0,271.85320224714025,268.34703332992336,-9.62112733514248,-11.053415162450806
1,0.4,4,12,235.37306301548,235.37848,0.0,223.83006364475474,212.35794730665194,-5.159457209275506,-10.840438507396968
2,0.6,2,12,213.51887858,211.222269,0.0,196.02143265961,190.6270797775592,-7.754680768396462,-10.803915816406109
4,0.4,6,8,226.51341749120002,226.519853,0.0,223.83006364475474,204.62110579742492,-1.2017104902915485,-10.702096011666985
3,0.4,2,24,246.35776561569,246.363435,0.0,223.83006364475474,222.89254645366805,-10.067178192384576,-10.530136121537282
2,0.1,2,12,548.8978899999997,2905.51327,0.0,2643.60335571428,2632.8065087864975,-9.90730752855146,-10.358025183521645
1,0.5,4,12,211.7038687494785,211.703915,0.0,199.77165980346334,192.2920234886013,-5.972946917633707,-10.09500610541414
4,0.5,6,8,204.4978722718883,204.497943,0.0,199.77165980346334,186.83055297776858,-2.365842683184594,-9.456370888295611
1,0.5,2,24,221.016410019281,221.016445,0.0,199.77165980346334,202.3134404655119,-10.634534056250734,-9.24456847328262
4,0.1,6,8,536.5117499999999,1631.26479,0.0,1524.9977076836494,1507.0032201936629,-6.9683437411694085,-8.24560745068404
1,0.1,4,12,538.2595200000001,1634.44442,0.0,1524.9977076836494,1514.640629260899,-7.176844382447728,-7.909717224313587
3,0.1,2,24,540.0354199999999,1638.74849,0.0,1524.9977076836494,1518.641714576103,-7.459078905051532,-7.908828940433941
2,0.6,2,12,205.59782731708393,205.597876,0.0,196.02143265961,190.6270797775592,-4.885406259130568,-7.853446761032106
