iterations,rHole,axial,length,pBack,pInlet,pOutlet
0,0.1,2,24,-1.09871307e+03,0.00000000e+00,-1.63874849e+03
1,0.5,6,8,-7.07281117e-05,0.00000000e+00,-2.04497943e+02
2,0.2,6,8,-2.79683258e+01,0.00000000e+00,-4.20494189e+02
3,0.5,2,12,-3.01950406e-03,0.00000000e+00,-2.29863052e+02
4,0.4,6,8,-6.43550880e-03,0.00000000e+00,-2.26519853e+02
5,0.3,1,3,-1.78781650e+02,0.00000000e+00,-6.17199798e+02
6,0.25,6,8,-4.09520639e+00,0.00000000e+00,-3.26195482e+02
7,0.25,2,12,-2.12885328e+01,0.00000000e+00,-4.09789524e+02
8,0.25,1,3,-4.45019886e+02,0.00000000e+00,-9.31832653e+02
9,0.2,1,3,-1.21595164e+03,0.00000000e+00,-1.74316023e+03
10,0.3,2,24,-5.66141135e-01,0.00000000e+00,-2.98008545e+02
11,0.4,2,24,-5.66938431e-03,0.00000000e+00,-2.46363435e+02
12,0.5,2,24,-3.49807190e-05,0.00000000e+00,-2.21016445e+02
13,0.2,4,12,-2.87745406e+01,0.00000000e+00,-4.30825305e+02
14,0.3,2,12,-4.34508858e+00,0.00000000e+00,-3.36707502e+02
15,0.2,2,12,-9.64694348e+01,0.00000000e+00,-5.51867670e+02
16,0.25,4,12,-4.23548899e+00,0.00000000e+00,-3.37233146e+02
17,0.4,1,3,-3.19155387e+01,0.00000000e+00,-3.73275455e+02
18,0.2,2,24,-2.97852857e+01,0.00000000e+00,-4.40955023e+02
19,0.3,4,12,-5.31710335e-01,0.00000000e+00,-2.86121505e+02
20,0.1,2,12,-2.35661538e+03,0.00000000e+00,-2.90551327e+03
21,0.1,6,8,-1.09475304e+03,0.00000000e+00,-1.63126479e+03
22,0.4,4,12,-5.41698452e-03,0.00000000e+00,-2.35378480e+02
23,0.1,1,3,-2.30338164e+04,0.00000000e+00,-2.35968123e+04
24,0.25,2,24,-4.43672275e+00,0.00000000e+00,-3.48094362e+02
25,0.1,4,12,-1.09618490e+03,0.00000000e+00,-1.63444442e+03
26,0.5,1,3,-6.17394591e+00,0.00000000e+00,-2.81577422e+02
27,0.5,4,12,-4.62505215e-05,0.00000000e+00,-2.11703915e+02
28,0.3,6,8,-5.24580631e-01,0.00000000e+00,-2.75487022e+02
29,0.4,2,12,-1.32679120e-01,0.00000000e+00,-2.63683086e+02
30,0.6,2,12,-4.86829161e-05,0.00000000e+00,-2.05597876e+02
30,0.6,2,12,2.29660958e+00,0.00000000e+00,-2.11222269e+02
0,0.6,1,3,-1.28343947e+00,0.00000000e+00,-2.40104834e+02
