rHole,N,nSection,width,pBack,pInlet,pOutlet,ApInlet,ApBack,MSerrorInlet,MSerrorBack
0.05,48.0,1,0.5,759.589899999999,39000.7296,0.0,37079.29309027007,751.5211017089023,-5.1819664011721205,-1.0736622395231372
0.05,64.0,1,0.5,758.9523000000008,29000.6715,0.0,27996.610368103222,751.5209812373068,-3.5863667733173656,-0.9888371646602655
0.05,48.0,2,0.5,670.4553000000014,19110.899,0.0,18595.06905301621,659.8394493831838,-2.774014689125992,-1.6088535819950283
0.05,48.0,1,1.0,750.8829000000005,19230.9352,0.0,18718.35262070999,742.4552688147851,-2.738395785550535,-1.1351028862208548
0.05,80.0,1,0.5,759.4421000000002,23121.564,0.0,22547.00070911187,751.5208607696732,-2.548291448165565,-1.0540278578846736
0.05,48.0,1,1.5,742.1549000000014,12858.5951,0.0,12592.184303196647,733.2034009982963,-2.115683747860347,-1.2208752700160876
0.05,64.0,2,0.5,671.0097999999998,14335.3234,0.0,14099.562636695717,659.7643682241905,-1.6721140178539182,-1.7044618226469639
0.05,96.0,1,0.5,759.3683999999994,19222.5425,0.0,18913.927581709377,751.5207403059867,-1.631680765178923,-1.0442372742523998
0.05,64.0,1,1.0,750.6122999999989,14446.3666,0.0,14222.882896191675,742.4542746634725,-1.5712967999487946,-1.0987916178708976
0.05,64.0,1,1.5,741.8084600000002,9771.80727,0.0,9625.172791450796,733.1999445240563,-1.5234477523296666,-1.174102035909454
0.05,48.0,3,0.5,581.4491999999991,12651.6299,0.0,12517.188101926953,569.5392394541905,-1.0740575037963216,-2.091157153144071
0.05,80.0,2,0.5,670.9480000000003,11518.1656,0.0,11402.243958221592,659.6894084314663,-1.0166563897698653,-1.70665034554722
0.05,48.0,1,2.0,733.0597400000006,9754.91977,0.0,9658.0533005381,724.307609618505,-1.002960601351239,-1.2083443919780663
0.05,80.0,1,1.0,750.8919000000005,11640.1469,0.0,11525.60084947292,742.4532806444367,-0.9938401652380546,-1.1365859072289652
0.05,80.0,1,1.5,741.6493199999995,7920.21732,0.0,7844.96514754504,733.1964891060643,-0.9592416414814626,-1.1528738911776832
0.05,48.0,2,1.5,653.1476500000008,6579.5119,0.0,6526.670140112159,642.057670269307,-0.8096281680160611,-1.7272560151866407
0.05,48.0,1,3.0,715.5019300000004,6674.91593,0.0,6621.873141387692,705.9412430700258,-0.8010239320470011,-1.354317660829194
0.05,96.0,1,1.5,741.866,6704.15521,0.0,6658.159437825735,733.1930347414354,-0.6908181247952373,-1.1829033893677283
