Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,arc_length,p,static(p),stressTensor_0,stressTensor_1,stressTensor_2,stressTensor_3,stressTensor_4,stressTensor_5,stressTensor_6,stressTensor_7,stressTensor_8,stressTensor_Magnitude,vtkValidPointMask
0,0,0,0,0,0,0,0,0,0,-9029.85,-9029.85,-3.62346e-10,-8.3564e-11,6.45776e-11,-8.3564e-11,-1.68996e-10,3.60929e-10,6.45776e-11,3.60929e-10,1.7603e-09,1.88185e-09,1
1,0,0,0.03,0.03,5.4339e-12,1.84687e-11,7.46464e-11,7.7089e-11,0.03,-9029.85,-9029.85,-4.11359e-10,-7.33788e-11,2.13657e-11,-7.33788e-11,-1.70751e-10,3.00874e-10,2.13657e-11,3.00874e-10,2.02985e-09,2.124e-09,1
2,0,0,0.06,0.06,4.47971e-12,3.39131e-11,1.67471e-10,1.70929e-10,0.06,-9029.85,-9029.85,-4.74938e-10,-6.36589e-11,8.75227e-11,-6.36589e-11,-1.86546e-10,2.77077e-10,8.75227e-11,2.77077e-10,2.62642e-09,2.7084e-09,1
3,0,0,0.09,0.09,7.70921e-12,3.81505e-11,2.46131e-10,2.49189e-10,0.09,-9029.85,-9029.85,-5.29751e-10,-5.04617e-11,1.20368e-10,-5.04617e-11,-1.95547e-10,2.47861e-10,1.20368e-10,2.47861e-10,3.1177e-09,3.1931e-09,1
4,0,0,0.12,0.12,1.05292e-11,4.18262e-11,3.22262e-10,3.25135e-10,0.12,-9029.85,-9029.85,-5.84016e-10,-3.75791e-11,1.44582e-10,-3.75791e-11,-2.04285e-10,2.13779e-10,1.44582e-10,2.13779e-10,3.58259e-09,3.65429e-09,1
5,0,0,0.15,0.15,1.32642e-11,5.16801e-11,4.0942e-10,4.12882e-10,0.15,-9029.85,-9029.85,-6.18338e-10,-2.07629e-11,1.70676e-10,-2.07629e-11,-1.90654e-10,1.95119e-10,1.70676e-10,1.95119e-10,4.10245e-09,4.16942e-09,1
6,0,0,0.18,0.18,7.27615e-12,6.04039e-11,4.77951e-10,4.81808e-10,0.18,-9029.85,-9029.85,-6.64044e-10,-2.31314e-11,1.94233e-10,-2.31314e-11,-1.95042e-10,1.62827e-10,1.94233e-10,1.62827e-10,4.33053e-09,4.40023e-09,1
7,0,0,0.21,0.21,7.11556e-12,7.43355e-11,5.46054e-10,5.51136e-10,0.21,-9029.85,-9029.85,-6.95206e-10,-9.20881e-12,2.06076e-10,-9.20881e-12,-1.87541e-10,1.47958e-10,2.06076e-10,1.47958e-10,4.42605e-09,4.49859e-09,1
8,0,0,0.24,0.24,5.91721e-12,8.70873e-11,6.15282e-10,6.21443e-10,0.24,-9029.85,-9029.85,-7.26214e-10,2.89647e-12,2.12628e-10,2.89647e-12,-1.83038e-10,1.32993e-10,2.12628e-10,1.32993e-10,4.53236e-09,4.6075e-09,1
9,0,0,0.27,0.27,5.64648e-12,9.78779e-11,6.87844e-10,6.94796e-10,0.27,-9029.85,-9029.85,-7.53856e-10,1.20245e-11,2.13471e-10,1.20245e-11,-1.73984e-10,1.06153e-10,2.13471e-10,1.06153e-10,4.60317e-09,4.67993e-09,1
10,0,0,0.3,0.3,5.74694e-12,1.07301e-10,7.61561e-10,7.69104e-10,0.3,-9029.85,-9029.85,-7.84333e-10,2.06138e-11,2.15835e-10,2.06138e-11,-1.66549e-10,7.28548e-11,2.15835e-10,7.28548e-11,4.66755e-09,4.74695e-09,1
11,0,0,0.33,0.33,2.8698e-12,1.14163e-10,8.67108e-10,8.74596e-10,0.33,-9029.85,-9029.85,-8.08946e-10,4.09734e-11,1.9989e-10,4.09734e-11,-1.76221e-10,8.12589e-11,1.9989e-10,8.12589e-11,4.88529e-09,4.96467e-09,1
12,0,0,0.36,0.36,-5.03188e-13,1.21599e-10,9.73304e-10,9.80871e-10,0.36,-9029.85,-9029.85,-8.3593e-10,6.45576e-11,1.84696e-10,6.45576e-11,-1.91641e-10,9.80821e-11,1.84696e-10,9.80821e-11,5.13786e-09,5.21813e-09,1
13,0,0,0.39,0.39,-3.3747e-12,1.26076e-10,1.06535e-09,1.07279e-09,0.39,-9029.85,-9029.85,-8.49164e-10,8.20466e-11,1.96257e-10,8.20466e-11,-1.96018e-10,1.34265e-10,1.96257e-10,1.34265e-10,5.35331e-09,5.43544e-09,1
