Points_0,Points_1,Points_2,U_0,U_1,U_2,U_Magnitude,p
0,0,0,0,0,0,0,-1361.46
0,0,0.03,4.91424e-12,2.66483e-11,1.04186e-10,1.07652e-10,-1361.46
0,0,0.06,5.80853e-12,3.46835e-11,1.83562e-10,1.86901e-10,-1361.46
0,0,0.09,7.48237e-12,4.42638e-11,2.57871e-10,2.6175e-10,-1361.46
0,0,0.12,1.08496e-11,5.33294e-11,3.28747e-10,3.33221e-10,-1361.46
0,0,0.15,1.38769e-11,6.06685e-11,3.98615e-10,4.03445e-10,-1361.46
0,0,0.18,1.45993e-11,6.6172e-11,4.81996e-10,4.86736e-10,-1361.46
0,0,0.21,1.57772e-11,7.35779e-11,5.64283e-10,5.69279e-10,-1361.46
0,0,0.24,1.9695e-11,7.73511e-11,6.59297e-10,6.64111e-10,-1361.46
0,0,0.27,2.22096e-11,8.09062e-11,7.60627e-10,7.6524e-10,-1361.46
0,0,0.3,2.35651e-11,8.37126e-11,8.5489e-10,8.59302e-10,-1361.46
0,0,0.33,2.23089e-11,8.51249e-11,9.48061e-10,9.52137e-10,-1361.46
0,0,0.36,1.86581e-11,8.67802e-11,1.04087e-09,1.04465e-09,-1361.46
0,0,0.39,1.50463e-11,8.88064e-11,1.12602e-09,1.12962e-09,-1361.46
0,0,0.42,1.42296e-11,9.451e-11,1.22215e-09,1.22588e-09,-1361.46
0,0,0.45,1.47213e-11,1.00167e-10,1.34528e-09,1.34908e-09,-1361.46
0,0,0.48,1.31397e-11,1.08066e-10,1.45232e-09,1.45639e-09,-1361.46
0,0,0.51,6.017e-12,1.08701e-10,1.54604e-09,1.54987e-09,-1361.46
0,0,0.54,-1.03536e-12,1.03594e-10,1.63456e-09,1.63784e-09,-1361.46
0,0,0.57,-1.09773e-11,1.03698e-10,1.73924e-09,1.74236e-09,-1361.46
0,0,0.6,-2.1193e-11,9.91991e-11,1.86494e-09,1.8677e-09,-1361.46
0,0,0.63,-3.13099e-11,9.58091e-11,1.98181e-09,1.98437e-09,-1361.46
0,0,0.66,-3.89089e-11,9.51451e-11,2.10728e-09,2.10979e-09,-1361.46
0,0,0.69,-4.12088e-11,8.71877e-11,2.27075e-09,2.2728e-09,-1361.46
0,0,0.72,-4.5386e-11,8.05993e-11,2.42102e-09,2.42279e-09,-1361.46
0,0,0.75,-3.99728e-11,6.8714e-11,2.61934e-09,2.62055e-09,-1361.46
0,0,0.78,-3.55202e-11,5.66056e-11,2.81604e-09,2.81683e-09,-1361.46
0,0,0.81,-3.36434e-11,4.57448e-11,2.98236e-09,2.9829e-09,-1361.46
0,0,0.84,-3.54832e-11,3.95096e-11,3.07716e-09,3.07761e-09,-1361.46
0,0,0.87,-4.45186e-11,3.47016e-11,3.13405e-09,3.13456e-09,-1361.46
0,0,0.9,-5.37786e-11,3.00764e-11,3.18761e-09,3.18821e-09,-1361.46
0,0,0.93,-5.55169e-11,2.47952e-11,3.27657e-09,3.27713e-09,-1361.46
0,0,0.96,-5.97648e-11,1.85888e-11,3.36933e-09,3.36991e-09,-1361.46
0,0,0.99,-6.54255e-11,1.15773e-11,3.49105e-09,3.49168e-09,-1361.46
0,0,1.02,-6.51202e-11,2.24574e-12,3.65516e-09,3.65574e-09,-1361.46
0,0,1.05,-6.53828e-11,-1.94701e-12,3.76233e-09,3.7629e-09,-1361.46
0,0,1.08,-6.52776e-11,-5.57626e-12,3.86311e-09,3.86366e-09,-1361.46
0,0,1.11,-6.68182e-11,-2.15289e-12,3.92231e-09,3.92288e-09,-1361.46
0,0,1.14,-7.09498e-11,6.12027e-12,3.95503e-09,3.95567e-09,-1361.46
0,0,1.17,-7.13612e-11,1.32295e-11,4.00474e-09,4.0054e-09,-1361.46
0,0,1.2,-6.25932e-11,2.35687e-11,4.11279e-09,4.11334e-09,-1361.46
0,0,1.23,-4.99738e-11,2.86772e-11,4.27932e-09,4.27971e-09,-1361.46
0,0,1.26,-4.20597e-11,3.57047e-11,4.43198e-09,4.43233e-09,-1361.46
0,0,1.29,-4.69725e-11,3.86403e-11,4.5661e-09,4.5665e-09,-1361.46
0,0,1.32,-5.54889e-11,3.92175e-11,4.66517e-09,4.66567e-09,-1361.46
0,0,1.35,-6.87433e-11,4.54759e-11,4.7446e-09,4.74532e-09,-1361.46
0,0,1.38,-8.46139e-11,5.0457e-11,4.82584e-09,4.82684e-09,-1361.46
0,0,1.41,-1.03111e-10,5.21422e-11,4.91302e-09,4.91438e-09,-1361.46
0,0,1.44,-1.07971e-10,5.06217e-11,5.03279e-09,5.0342e-09,-1361.46
0,0,1.47,-1.00806e-10,5.72569e-11,5.19099e-09,5.19228e-09,-1361.46
0,0,1.5,-1.04836e-10,5.67077e-11,5.31511e-09,5.31644e-09,-1361.46
0,0,1.53,-1.09578e-10,6.02881e-11,5.44116e-09,5.44259e-09,-1361.46
0,0,1.56,-1.15549e-10,6.34439e-11,5.55743e-09,5.559e-09,-1361.46
0,0,1.59,-1.1576e-10,6.81071e-11,5.66894e-09,5.67053e-09,-1361.46
0,0,1.62,-1.19116e-10,5.27321e-11,5.82823e-09,5.82968e-09,-1361.46
0,0,1.65,-1.22867e-10,3.75085e-11,5.9781e-09,5.97948e-09,-1361.46
0,0,1.68,-1.26191e-10,2.29301e-11,6.11134e-09,6.11269e-09,-1361.46
0,0,1.71,-1.32632e-10,5.3139e-12,6.23872e-09,6.24014e-09,-1361.46
0,0,1.74,-1.32504e-10,-1.02515e-11,6.35342e-09,6.35481e-09,-1361.46
0,0,1.77,-1.31295e-10,-2.48061e-11,6.45913e-09,6.46051e-09,-1361.46
0,0,1.8,-1.28944e-10,-4.04131e-11,6.61346e-09,6.61484e-09,-1361.46
0,0,1.83,-1.25277e-10,-5.24365e-11,6.75882e-09,6.76018e-09,-1361.46
0,0,1.86,-1.21479e-10,-5.52678e-11,6.87989e-09,6.88119e-09,-1361.46
0,0,1.89,-1.16419e-10,-5.64932e-11,6.9753e-09,6.9765e-09,-1361.46
0,0,1.92,-1.10125e-10,-5.6851e-11,7.08051e-09,7.08159e-09,-1361.46
0,0,1.95,-1.00113e-10,-4.60697e-11,7.22973e-09,7.23057e-09,-1361.46
0,0,1.98,-8.14998e-11,-3.92167e-11,7.46604e-09,7.46659e-09,-1361.46
0,0,2.01,-7.04933e-11,-2.80503e-11,7.67798e-09,7.67836e-09,-1361.46
0,0,2.04,-6.59997e-11,-9.31757e-12,7.83723e-09,7.83751e-09,-1361.46
0,0,2.07,-6.32537e-11,1.08453e-11,7.89748e-09,7.89774e-09,-1361.46
0,0,2.1,-5.6238e-11,2.36092e-11,7.88727e-09,7.88751e-09,-1361.46
0,0,2.13,-5.44283e-11,3.70057e-11,7.90899e-09,7.90926e-09,-1361.46
0,0,2.16,-5.5496e-11,4.8946e-11,8.02006e-09,8.0204e-09,-1361.46
0,0,2.19,-6.23542e-11,6.05871e-11,8.15305e-09,8.15351e-09,-1361.46
0,0,2.22,-6.95446e-11,6.56474e-11,8.2533e-09,8.25385e-09,-1361.46
0,0,2.25,-7.52407e-11,6.48429e-11,8.37e-09,8.37059e-09,-1361.46
0,0,2.28,-8.24188e-11,6.24925e-11,8.50516e-09,8.50578e-09,-1361.46
0,0,2.31,-8.91344e-11,6.22817e-11,8.6437e-09,8.64438e-09,-1361.46
0,0,2.34,-9.76252e-11,6.52499e-11,8.86798e-09,8.86876e-09,-1361.46
0,0,2.37,-1.0503e-10,6.71508e-11,9.05048e-09,9.05134e-09,-1361.46
0,0,2.4,-1.051e-10,6.99379e-11,9.19181e-09,9.19267e-09,-1361.46
0,0,2.43,-9.66414e-11,5.26092e-11,9.22205e-09,9.22271e-09,-1361.46
0,0,2.46,-8.71982e-11,2.94491e-11,9.20666e-09,9.20712e-09,-1361.46
0,0,2.49,-7.34078e-11,1.03296e-11,9.29149e-09,9.29179e-09,-1361.46
0,0,2.52,-5.3924e-11,-9.2406e-12,9.36915e-09,9.36931e-09,-1361.46
0,0,2.55,-3.25525e-11,-3.01668e-11,9.42095e-09,9.42105e-09,-1361.46
0,0,2.58,3.76853e-12,-5.55633e-11,9.49608e-09,9.49624e-09,-1361.46
0,0,2.61,3.91849e-11,-7.58115e-11,9.59875e-09,9.59913e-09,-1361.46
0,0,2.64,7.20473e-11,-8.44946e-11,9.76365e-09,9.76428e-09,-1361.46
0,0,2.67,1.11766e-10,-9.7067e-11,9.9443e-09,9.94541e-09,-1361.46
0,0,2.7,1.52158e-10,-1.07313e-10,1.0041e-08,1.00428e-08,-1361.46
0,0,2.73,1.86591e-10,-1.02927e-10,1.0189e-08,1.01913e-08,-1361.46
0,0,2.76,2.16284e-10,-1.06336e-10,1.02887e-08,1.02915e-08,-1361.46
0,0,2.79,2.39932e-10,-1.10419e-10,1.03995e-08,1.04028e-08,-1361.46
0,0,2.82,2.58466e-10,-1.05071e-10,1.06423e-08,1.06459e-08,-1361.46
0,0,2.85,2.70425e-10,-1.01976e-10,1.08254e-08,1.08292e-08,-1361.46
0,0,2.88,2.71332e-10,-9.25487e-11,1.10475e-08,1.10512e-08,-1361.46
0,0,2.91,2.49909e-10,-1.20482e-10,1.1107e-08,1.11105e-08,-1361.46
0,0,2.94,2.33017e-10,-1.5161e-10,1.11669e-08,1.11703e-08,-1361.46
0,0,2.97,2.13389e-10,-1.59604e-10,1.13429e-08,1.1346e-08,-1361.46
0,0,3,1.99571e-10,-1.6969e-10,1.14746e-08,1.14776e-08,-1361.46
0,0,3.03,1.87186e-10,-1.98902e-10,1.15296e-08,1.15328e-08,-1361.46
0,0,3.06,1.67951e-10,-2.28383e-10,1.15409e-08,1.15444e-08,-1361.46
0,0,3.09,1.50085e-10,-2.49458e-10,1.15016e-08,1.15053e-08,-1361.46
0,0,3.12,1.41076e-10,-2.50035e-10,1.15439e-08,1.15475e-08,-1361.46
0,0,3.15,1.02179e-10,-2.6611e-10,1.15974e-08,1.16009e-08,-1361.46
0,0,3.18,6.18499e-11,-2.63725e-10,1.1694e-08,1.16971e-08,-1361.46
0,0,3.21,2.84334e-11,-2.47757e-10,1.18747e-08,1.18773e-08,-1361.46
0,0,3.24,-4.81783e-12,-2.32315e-10,1.20449e-08,1.20471e-08,-1361.46
0,0,3.27,-4.01425e-11,-2.27625e-10,1.21892e-08,1.21914e-08,-1361.46
0,0,3.3,-6.51007e-11,-2.1502e-10,1.22119e-08,1.22139e-08,-1361.46
0,0,3.33,-8.95219e-11,-2.01686e-10,1.22637e-08,1.22657e-08,-1361.46
0,0,3.36,-1.15479e-10,-1.85323e-10,1.23937e-08,1.23957e-08,-1361.46
