iterations,rHole,N,nSection,width,pBack,pInlet,pOutlet
0,0.05,48.0,2,3,-2.90697117e+03,0.00000000e+00,-3.53231793e+03
1,0.05,80.0,2,1.5,-3.50863545e+03,0.00000000e+00,-4.16102867e+03
2,0.05,48.0,4,1.5,-2.84728296e+03,0.00000000e+00,-3.31731862e+03
3,0.05,64.0,4,2,-1.54605419e+03,0.00000000e+00,-2.00157183e+03
4,0.05,80.0,4,1.5,-1.65765515e+03,0.00000000e+00,-2.12323071e+03
5,0.05,96.0,2,2,-2.16223802e+03,0.00000000e+00,-2.80530858e+03
6,0.05,64.0,1,0.5,-2.82417192e+04,0.00000000e+00,-2.90006715e+04
7,0.05,80.0,4,1,-2.54982536e+03,0.00000000e+00,-3.02780152e+03
8,0.05,96.0,3,1.5,-1.88405584e+03,0.00000000e+00,-2.44404807e+03
9,0.05,80.0,4,2,-1.21393908e+03,0.00000000e+00,-1.66696612e+03
10,0.05,48.0,2,2,-4.40743754e+03,0.00000000e+00,-5.05209933e+03
11,0.05,64.0,2,2,-3.28309529e+03,0.00000000e+00,-3.92728707e+03
12,0.05,64.0,3,2,-2.13207859e+03,0.00000000e+00,-2.68402359e+03
13,0.05,80.0,2,2,-2.60991730e+03,0.00000000e+00,-3.25309359e+03
14,0.05,48.0,2,1,-8.98612999e+03,0.00000000e+00,-9.64764326e+03
15,0.05,48.0,1,2,-9.02186003e+03,0.00000000e+00,-9.75491977e+03
16,0.05,96.0,2,0.5,-8.98762762e+03,0.00000000e+00,-9.65891151e+03
17,0.05,96.0,4,1.5,-1.36206702e+03,0.00000000e+00,-1.82515600e+03
18,0.05,80.0,1,1.5,-7.17856800e+03,0.00000000e+00,-7.92021732e+03
19,0.05,48.0,4,1,-4.34832248e+03,0.00000000e+00,-4.82933429e+03
20,0.05,96.0,2,1.5,-2.91055052e+03,0.00000000e+00,-3.56283940e+03
21,0.05,80.0,3,0.5,-7.11343693e+03,0.00000000e+00,-7.69482792e+03
22,0.05,96.0,1,2,-4.44622070e+03,0.00000000e+00,-5.17893763e+03
23,0.05,48.0,4,0.5,-8.91597965e+03,0.00000000e+00,-9.40789951e+03
24,0.05,64.0,3,1,-4.37739931e+03,0.00000000e+00,-4.94902056e+03
25,0.05,80.0,4,3,-7.71671072e+02,0.00000000e+00,-1.19957581e+03
26,0.05,64.0,2,1.5,-4.41427339e+03,0.00000000e+00,-5.06708171e+03
27,0.05,48.0,3,3,-1.88283980e+03,0.00000000e+00,-2.41642073e+03
28,0.05,80.0,1,1,-1.08892550e+04,0.00000000e+00,-1.16401469e+04
29,0.05,96.0,2,3,-1.41767205e+03,0.00000000e+00,-2.04141135e+03
30,0.05,80.0,1,0.5,-2.23621219e+04,0.00000000e+00,-2.31215640e+04
31,0.05,96.0,3,0.5,-5.89495638e+03,0.00000000e+00,-6.47610234e+03
32,0.05,48.0,3,1.5,-3.87976527e+03,0.00000000e+00,-4.44256494e+03
33,0.05,64.0,1,2,-6.72439010e+03,0.00000000e+00,-7.45759683e+03
34,0.05,48.0,3,2,-2.87620817e+03,0.00000000e+00,-3.42879323e+03
35,0.05,80.0,2,1,-5.31681467e+03,0.00000000e+00,-5.97829289e+03
36,0.05,64.0,4,0.5,-6.62307975e+03,0.00000000e+00,-7.11397193e+03
