Points_0,Points_1,Points_2,U_0,U_1,U_2,p
2,2.5,0,0.0158703,-0.00321711,-6.67989,0
2,2.5,0.03,0.0168694,-0.000931963,-6.72923,1.49773
2,2.5,0.06,0.016076,6.41353e-05,-6.74094,3.11753
2,2.5,0.09,0.0152366,0.00110073,-6.74849,4.67892
2,2.5,0.12,0.0141148,0.00229088,-6.73022,5.58838
2,2.5,0.15,0.0137378,0.00298871,-6.74619,6.32345
2,2.5,0.18,0.0133651,0.00369336,-6.76223,7.05796
2,2.5,0.21,0.0129996,0.00440999,-6.77837,7.79145
2,2.5,0.24,0.0126492,0.00515093,-6.79473,8.52289
2,2.5,0.27,0.0123378,0.00595543,-6.81167,9.24897
2,2.5,0.3,0.0117698,0.00746061,-6.8087,9.99895
2,2.5,0.33,0.0108077,0.00941319,-6.79607,11.1286
2,2.5,0.36,0.0094246,0.0100499,-6.74673,12.1779
2,2.5,0.39,0.00816519,0.0107173,-6.70279,13.1687
2,2.5,0.42,0.0069391,0.0113929,-6.66031,14.1438
2,2.5,0.45,0.00572708,0.012072,-6.61845,15.1122
2,2.5,0.48,0.00473579,0.012666,-6.60718,16.0764
2,2.5,0.51,0.00323349,0.012674,-6.62005,17.7649
2,2.5,0.54,0.00168252,0.0123391,-6.58355,19.4183
2,2.5,0.57,0.00175117,0.0126698,-6.58479,20.427
2,2.5,0.6,0.00184011,0.0128877,-6.58814,21.4375
2,2.5,0.63,0.0014473,0.0133974,-6.6062,22.5235
2,2.5,0.66,0.00121538,0.0134218,-6.62993,23.6032
2,2.5,0.69,0.00192443,0.0122513,-6.61439,24.6306
2,2.5,0.72,0.00318573,0.0111353,-6.66148,25.7268
2,2.5,0.75,0.00444977,0.010015,-6.70855,26.8236
2,2.5,0.78,0.00572289,0.00887979,-6.75559,27.9224
2,2.5,0.81,0.00683523,0.00765273,-6.78574,29.0439
2,2.5,0.84,0.00743394,0.00778289,-6.79397,30.0008
2,2.5,0.87,0.00813463,0.00689468,-6.75351,31.1778
2,2.5,0.9,0.00941812,0.00602494,-6.71997,32.2619
2,2.5,0.93,0.0107239,0.0051524,-6.68676,33.3432
2,2.5,0.96,0.0120297,0.00427986,-6.65355,34.4244
2,2.5,0.99,0.0133355,0.00340732,-6.62035,35.5056
2,2.5,1.02,0.0141689,0.003105,-6.59767,36.5798
2,2.5,1.05,0.014527,0.00346232,-6.59566,37.6293
2,2.5,1.08,0.014929,0.00382996,-6.60039,38.6621
2,2.5,1.11,0.0136557,0.00482655,-6.56946,39.7623
